Thread ID: 2148405680
Total: 0.017664

 %self     total     self     wait    child    calls  name
  0.05      0.00     0.00     0.00     0.00        1  ActionView::PathSet#load!
  0.05      0.00     0.00     0.00     0.00        1  <Class::ActionView::PathSet>#type_cast
  0.05      0.00     0.00     0.00     0.00        7  String#concat
  0.05      0.00     0.00     0.00     0.00        4  NilClass#blank?
  0.05      0.00     0.00     0.00     0.00        3  Array#compact
  0.05      0.00     0.00     0.00     0.00        1  Rack::Lint#check_content_length
  0.05      0.00     0.00     0.00     0.00        1  <Class::ActionController::Base>#master_helper_module
  0.05      0.00     0.00     0.00     0.00        2  Symbol#inspect
  0.05      0.00     0.00     0.00     0.00        1  Hash#update
  0.05      0.00     0.00     0.00     0.00        2  ActionController::Integration::ControllerCapture::ClassMethods#last_instantiation=
  0.05      0.00     0.00     0.00     0.00        1  String#scan
  0.05      0.00     0.00     0.00     0.00        1  ActionController::Layout#initialize
  0.05      0.00     0.00     0.00     0.00        3  Hash#key?
  0.05      0.00     0.00     0.00     0.00        1  ActiveRecord::ConnectionAdapters::ConnectionHandler#retrieve_connection
  0.05      0.00     0.00     0.00     0.00        1  Rack::Lint#each
  0.05      0.00     0.00     0.00     0.00        2  Exception#message
  0.05      0.00     0.00     0.00     0.00        3  Rack::Utils::HeaderHash#each
  0.05      0.02     0.00     0.00     0.02        1  Rack::Lint#call
  0.05      0.00     0.00     0.00     0.00        4  Integer#to_i
  0.05      0.01     0.00     0.00     0.01        1  ActionController::Rescue#log_error
  0.05      0.00     0.00     0.00     0.00        1  ActionController::Response#handle_conditional_get!
  0.05      0.00     0.00     0.00     0.00        1  ActionController::Request#content_length
  0.04      0.00     0.00     0.00     0.00        1  ActionController::Integration::Runner#copy_session_variables!
  0.04      0.00     0.00     0.00     0.00        1  MonitorMixin#mon_acquire
  0.04      0.00     0.00     0.00     0.00        2  Array#flatten
  0.04      0.00     0.00     0.00     0.00        2  ActionView::Renderable#recompile?
  0.04      0.00     0.00     0.00     0.00        3  ActionController::Integration::Session#https?
  0.04      0.00     0.00     0.00     0.00        2  Class#inheritable_attributes
  0.04      0.00     0.00     0.00     0.00        2  Set#include?
  0.04      0.00     0.00     0.00     0.00        3  Fixnum#<
  0.04      0.00     0.00     0.00     0.00        1  ActiveSupport::Rescuable#rescue_with_handler
  0.04      0.00     0.00     0.00     0.00        1  ActiveRecord::ConnectionAdapters::ConnectionHandler#retrieve_connection_pool
  0.04      0.00     0.00     0.00     0.00        1  ActionView::PathSet#initialize
  0.04      0.00     0.00     0.00     0.00        1  ActionController::RoutingError#initialize
  0.04      0.00     0.00     0.00     0.00        1  ActiveSupport::BufferedLogger#info?
  0.04      0.00     0.00     0.00     0.00        2  ActionController::Integration::ControllerCapture::ClassMethods#last_instantiation
  0.04      0.00     0.00     0.00     0.00        1  Rack::Lint::InputWrapper#rewind
  0.04      0.00     0.00     0.00     0.00        1  ActiveRecord::ConnectionAdapters::ConnectionHandler#clear_active_connections!
  0.04      0.00     0.00     0.00     0.00        1  Rack::Lint#check_status
  0.04      0.00     0.00     0.00     0.00        1  String#html_safe
  0.04      0.00     0.00     0.00     0.00        1  ActionController::Base#rescue_handlers
  0.04      0.00     0.00     0.00     0.00        1  ActionController::Base#assign_names
  0.04      0.00     0.00     0.00     0.00        1  ActiveRecord::ConnectionAdapters::ConnectionPool#connection
